id,Danceability
17170,3
17171,8
17172,6
17173,8
17174,7
17175,6
17176,1
17177,5
17178,8
17179,3
17180,8
17181,7
17182,7
17183,8
17184,6
17185,6
17186,8
17187,2
17188,8
17189,3
17190,9
17191,8
17192,9
17193,9
17194,9
17195,9
17196,9
17197,9
17198,9
17199,2
17200,1
17201,2
17202,2
17203,4
17204,8
17205,6
17206,7
17207,1
17208,1
17209,7
17210,7
17211,7
17212,1
17213,7
17214,7
17215,8
17216,7
17217,8
17218,6
17219,0
17220,7
17221,0
17222,0
17223,6
17224,6
17225,1
17226,8
17227,8
17228,7
17229,7
17230,8
17231,1
17232,8
17233,6
17234,1
17235,8
17236,1
17237,2
17238,0
17239,6
17240,2
17241,9
17242,0
17243,8
17244,7
17245,7
17246,6
17247,9
17248,2
17249,8
17250,3
17251,6
17252,7
17253,7
17254,7
17255,1
17256,8
17257,9
17258,7
17259,1
17260,6
17261,7
17262,6
17263,9
17264,5
17265,7
17266,1
17267,8
17268,7
17269,8
17270,7
17271,7
17272,6
17273,8
17274,8
17275,8
17276,7
17277,6
17278,2
17279,1
17280,2
17281,9
17282,2
17283,9
17284,7
17285,7
17286,6
17287,2
17288,8
17289,8
17290,9
17291,1
17292,9
17293,8
17294,8
17295,7
17296,2
17297,6
17298,6
17299,3
17300,9
17301,6
17302,8
17303,1
17304,6
17305,7
17306,7
17307,7
17308,0
17309,9
17310,6
17311,8
17312,1
17313,7
17314,7
17315,9
17316,7
17317,8
17318,6
17319,5
17320,8
17321,2
17322,7
17323,1
17324,1
17325,8
17326,9
17327,6
17328,1
17329,3
17330,6
17331,6
17332,6
17333,7
17334,7
17335,6
17336,7
17337,9
17338,8
17339,8
17340,8
17341,8
17342,1
17343,1
17344,1
17345,0
17346,7
17347,9
17348,7
17349,6
17350,8
17351,6
17352,6
17353,8
17354,3
17355,7
17356,8
17357,7
17358,6
17359,8
17360,8
17361,9
17362,7
17363,6
17364,7
17365,8
17366,7
17367,9
17368,6
17369,9
17370,9
17371,6
17372,3
17373,3
17374,6
17375,8
17376,6
17377,0
17378,2
17379,6
17380,9
17381,8
17382,8
17383,9
17384,9
17385,8
17386,8
17387,9
17388,8
17389,8
17390,8
17391,7
17392,7
17393,5
17394,8
17395,8
17396,8
17397,1
17398,6
17399,7
17400,8
17401,8
17402,9
17403,9
17404,6
17405,9
17406,3
17407,5
17408,9
17409,6
17410,1
17411,8
17412,3
17413,7
17414,8
17415,7
17416,5
17417,8
17418,7
17419,7
17420,3
17421,6
17422,1
17423,0
17424,7
17425,7
17426,6
17427,7
17428,0
17429,6
17430,6
17431,7
17432,7
17433,3
17434,7
17435,8
17436,6
17437,0
17438,7
17439,4
17440,2
17441,4
17442,1
17443,3
17444,8
17445,5
17446,2
17447,7
17448,0
17449,7
17450,8
17451,6
17452,1
17453,9
17454,8
17455,3
17456,5
17457,7
17458,7
17459,6
17460,7
17461,1
17462,2
17463,3
17464,7
17465,1
17466,2
17467,6
17468,7
17469,7
17470,9
17471,8
17472,9
17473,8
17474,2
17475,6
17476,9
17477,1
17478,9
17479,2
17480,1
17481,1
17482,9
17483,7
17484,2
17485,9
17486,9
17487,2
17488,2
17489,2
17490,6
17491,7
17492,7
17493,8
17494,8
17495,2
17496,9
17497,6
17498,9
17499,7
17500,7
17501,2
17502,2
17503,5
17504,2
17505,2
17506,1
17507,1
17508,2
17509,8
17510,7
17511,3
17512,8
17513,8
17514,6
17515,9
17516,2
17517,7
17518,8
17519,7
17520,7
17521,6
17522,8
17523,5
17524,7
17525,7
17526,8
17527,8
17528,6
17529,6
17530,1
17531,6
17532,8
